Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
Q4VWQ3	reviewed	Thioredoxin 3	36329	Plasmodium falciparum (isolate 3D7)	180	PF00085	86..170
Q50KB1	reviewed	Protein disulfide-isomerase-like protein EhSep2	2903	Emiliania huxleyi	223	PF00085	20..123
Q53LQ0	reviewed	Protein disulfide isomerase-like 1-1	39947	Oryza sativa subsp. japonica	512	PF00085	42..148,386..488
Q54EN4	reviewed	Protein disulfide-isomerase 2	44689	Dictyostelium discoideum	513	PF00085	43..143,379..479
Q54KN7	reviewed	Putative thioredoxin-5	44689	Dictyostelium discoideum	105	PF00085	7..102
Q54NX2	reviewed	Thioredoxin domain-containing protein, mitochondrial	44689	Dictyostelium discoideum	126	PF00085	17..116
Q58DA7	reviewed	Glutaredoxin-3	9913	Bos taurus	334	PF00085	18..111
Q58E26	reviewed	Thioredoxin-related transmembrane protein 2	8355	Xenopus laevis	287	PF00085	140..229
Q5BJT4	reviewed	Thioredoxin domain-containing protein 15	10116	Rattus norvegicus	343	PF00085	191..272
Q5DJV7	reviewed	5'-adenylylsulfate reductase-like 4	39947	Oryza sativa subsp. japonica	264	PF00085	81..167
Q5FVM7	reviewed	DnaJ homolog subfamily C member 16	10116	Rattus norvegicus	771	PF00085	155..240
Q5HGT9	reviewed	Thioredoxin	93062	Staphylococcus aureus (strain COL)	104	PF00085	3..101
Q5HQ29	reviewed	Thioredoxin	176279	Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A)	104	PF00085	3..101
Q5HVG7	reviewed	Thiol:disulfide interchange protein DsbD	195099	Campylobacter jejuni (strain RM1221)	567	PF00085	466..566
Q5I0H9	reviewed	Protein disulfide-isomerase A5	10116	Rattus norvegicus	517	PF00085	153..255,276..378,397..500
Q5JMR9	reviewed	Thioredoxin Y, chloroplastic	39947	Oryza sativa subsp. japonica	168	PF00085	63..161
Q5R5B6	reviewed	Protein disulfide-isomerase	9601	Pongo abelii	508	PF00085	26..131,369..471
Q5R5L3	reviewed	DnaJ homolog subfamily C member 10	9601	Pongo abelii	793	PF00085	131..229,466..551,558..643,675..761
Q5R6T1	reviewed	Protein disulfide-isomerase A6	9601	Pongo abelii	440	PF00085	27..126,162..263
Q5R875	reviewed	Protein disulfide-isomerase TMX3	9601	Pongo abelii	454	PF00085	32..126
Q5R9M3	reviewed	Thioredoxin	9601	Pongo abelii	106	PF00085	6..103
Q5RCH2	reviewed	Protein disulfide-isomerase A2	9601	Pongo abelii	525	PF00085	58..148,390..492
Q5RCM7	reviewed	DnaJ homolog subfamily C member 16	9601	Pongo abelii	782	PF00085	158..243
Q5RDG4	reviewed	Protein disulfide-isomerase A3	9601	Pongo abelii	505	PF00085	27..130,378..481
Q5RF53	reviewed	Thioredoxin-related transmembrane protein 2	9601	Pongo abelii	296	PF00085	140..230
Q5TKD8	reviewed	Thioredoxin-like 2, chloroplastic	39947	Oryza sativa subsp. japonica	216	PF00085	85..168
Q5UQN5	reviewed	Thioredoxin domain-containing protein R443	212035	Acanthamoeba polyphaga mimivirus	164	PF00085	70..159
Q5UR25	reviewed	Thioredoxin domain-containing protein R362	212035	Acanthamoeba polyphaga mimivirus	346	PF00085	248..342
Q5UR29	reviewed	Thioredoxin-like protein R548	212035	Acanthamoeba polyphaga mimivirus	137	PF00085	35..130
Q5WA72	reviewed	Protein disulfide isomerase-like 1-5	39947	Oryza sativa subsp. japonica	533	PF00085	70..171,410..512
Q5WNE3	reviewed	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase	6238	Caenorhabditis briggsae	602	PF00085	16..104
Q5XHX6	reviewed	Thioredoxin domain-containing protein 2	10116	Rattus norvegicus	550	PF00085	451..547
Q5XI02	reviewed	Protein disulfide-isomerase-like protein of the testis	10116	Rattus norvegicus	590	PF00085	386..487
Q5XIK2	reviewed	Thioredoxin-related transmembrane protein 2	10116	Rattus norvegicus	295	PF00085	140..230
Q5XJ54	reviewed	Glutaredoxin 3	7955	Danio rerio	326	PF00085	10..103
Q5ZKZ4	reviewed	DnaJ homolog subfamily C member 16	9031	Gallus gallus	777	PF00085	154..238
Q63081	reviewed	Protein disulfide-isomerase A6	10116	Rattus norvegicus	440	PF00085	27..126,162..263
Q655X0	reviewed	Thioredoxin O, mitochondrial	39947	Oryza sativa subsp. japonica	174	PF00085	69..168
Q66GQ3	reviewed	Protein disulfide isomerase-like 1-6	3702	Arabidopsis thaliana	534	PF00085	78..178,418..502
Q67IX6	reviewed	Protein disulfide isomerase-like 1-4	39947	Oryza sativa subsp. japonica	563	PF00085	76..176,416..520
Q67UF5	reviewed	Protein disulfide isomerase-like 2-3	39947	Oryza sativa subsp. japonica	441	PF00085	31..129,168..266
Q67VZ8	reviewed	5'-adenylylsulfate reductase-like 2	39947	Oryza sativa subsp. japonica	282	PF00085	71..154
Q68Y00	reviewed	Thioredoxin	257363	Rickettsia typhi (strain ATCC VR-144 / Wilmington)	105	PF00085	3..103
Q69AB1	reviewed	Thioredoxin domain-containing protein 8	10116	Rattus norvegicus	127	PF00085	8..87
Q69AB2	reviewed	Thioredoxin domain-containing protein 8	10090	Mus musculus	127	PF00085	19..87
Q69SA9	reviewed	Protein disulfide isomerase-like 5-4	39947	Oryza sativa subsp. japonica	485	PF00085	145..243
Q69ST6	reviewed	Protein disulfide isomerase-like 1-3	39947	Oryza sativa subsp. japonica	545	PF00085	80..185,425..525
Q6A555	reviewed	Thioredoxin domain-containing protein 8	9606	Homo sapiens	127	PF00085	7..87
Q6AUC6	reviewed	Sulfhydryl oxidase 1	39947	Oryza sativa subsp. japonica	513	PF00085	48..138
Q6AX23	reviewed	Sulfhydryl oxidase 2	8355	Xenopus laevis	661	PF00085	39..125
Q6DFS0	reviewed	Thioredoxin-related transmembrane protein 2	8364	Xenopus tropicalis	287	PF00085	140..229
Q6ES52	reviewed	TPR repeat-containing thioredoxin TDX	39947	Oryza sativa subsp. japonica	317	PF00085	218..311
Q6GA69	reviewed	Thioredoxin	282459	Staphylococcus aureus (strain MSSA476)	104	PF00085	3..101
Q6GHU0	reviewed	Thioredoxin	282458	Staphylococcus aureus (strain MRSA252)	104	PF00085	3..101
Q6GNG3	reviewed	Protein disulfide-isomerase TMX3	8355	Xenopus laevis	452	PF00085	32..127
Q6H7E4	reviewed	Thioredoxin M1, chloroplastic	39947	Oryza sativa subsp. japonica	173	PF00085	69..169
Q6IQC7	reviewed	Thioredoxin-related transmembrane protein 2-B	7955	Danio rerio	307	PF00085	141..230
Q6IRC5	reviewed	Thioredoxin domain-containing protein 6	8355	Xenopus laevis	625	PF00085	14..102
Q6IUU3	reviewed	Sulfhydryl oxidase 1	10116	Rattus norvegicus	750	PF00085	56..129
Q6JE37	reviewed	Thioredoxin-like protein CITRX2, chloroplastic	4100	Nicotiana benthamiana	181	PF00085	77..159
Q6JE38	reviewed	Thioredoxin-like protein CITRX1, chloroplastic	4100	Nicotiana benthamiana	181	PF00085	77..159
Q6NPF9	reviewed	Thioredoxin Y1, chloroplastic	3702	Arabidopsis thaliana	172	PF00085	67..165
Q6NPL9	reviewed	Thioredoxin domain-containing protein PLP3A	3702	Arabidopsis thaliana	230	PF00085	89..175
Q6NRT6	reviewed	DnaJ homolog subfamily C member 10	8355	Xenopus laevis	796	PF00085	132..229,469..552,559..644,675..764
Q6P6J9	reviewed	Thioredoxin domain-containing protein 15	10090	Mus musculus	344	PF00085	192..273
Q6P902	reviewed	Thioredoxin domain-containing protein 2	10090	Mus musculus	515	PF00085	416..511
Q6PKC3	reviewed	Thioredoxin domain-containing protein 11	9606	Homo sapiens	985	PF00085	116..210,693..772
Q6XHI1	reviewed	Thioredoxin-2	7245	Drosophila yakuba	106	PF00085	9..103
Q6YTI3	reviewed	Thioredoxin-like 4, chloroplastic	39947	Oryza sativa subsp. japonica	214	PF00085	105..195
Q6Z4A7	reviewed	Probable 5'-adenylylsulfate reductase 1, chloroplastic	39947	Oryza sativa subsp. japonica	475	PF00085	378..472
Q6Z4I3	reviewed	Thioredoxin H2-1	39947	Oryza sativa subsp. japonica	138	PF00085	27..125
Q6Z4N3	reviewed	Thioredoxin-like 1-1, chloroplastic	39947	Oryza sativa subsp. japonica	279	PF00085	107..186
Q6Z7L3	reviewed	Thioredoxin-like 3-1, chloroplastic	39947	Oryza sativa subsp. japonica	193	PF00085	98..177
Q6ZRP7	reviewed	Sulfhydryl oxidase 2	9606	Homo sapiens	698	PF00085	76..149
Q70G58	reviewed	Thioredoxin reductase NTRC	39947	Oryza sativa subsp. japonica	515	PF00085	427..512
Q715S9	reviewed	Thioredoxin domain-containing protein 3	10116	Rattus norvegicus	587	PF00085	15..103
Q715T0	reviewed	Thioredoxin domain-containing protein 3	10090	Mus musculus	586	PF00085	15..103
Q71A37	reviewed	Phosducin-like protein 3	44689	Dictyostelium discoideum	184	PF00085	49..137
Q75GM1	reviewed	Thioredoxin H5	39947	Oryza sativa subsp. japonica	135	PF00085	25..122
Q75M08	reviewed	Protein disulfide isomerase-like 2-1	39947	Oryza sativa subsp. japonica	366	PF00085	32..134,150..254
Q7JW12	reviewed	Thioredoxin-related transmembrane protein 2 homolog	7227	Drosophila melanogaster	271	PF00085	134..236
Q7KQL8	reviewed	Thioredoxin 1	36329	Plasmodium falciparum (isolate 3D7)	104	PF00085	4..100
Q7M1B9	reviewed	Thioredoxin	324602	Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl)	110	PF00085	5..98
Q7TN22	reviewed	Thioredoxin domain-containing protein 16	10090	Mus musculus	820	PF00085	395..494
Q7W0K2	reviewed	Thiol:disulfide interchange protein DsbA	257313	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)	209	PF00085	48..86
Q7W2Q0	reviewed	Thiol:disulfide interchange protein DsbA	257311	Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253)	209	PF00085	48..86
Q7WDP8	reviewed	Thiol:disulfide interchange protein DsbA	257310	Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50)	209	PF00085	48..86
Q7X8R5	reviewed	Thioredoxin M2, chloroplastic	39947	Oryza sativa subsp. japonica	180	PF00085	75..175
Q7XKD0	reviewed	Thioredoxin X, chloroplastic	39947	Oryza sativa subsp. japonica	180	PF00085	73..170
Q7XQQ2	reviewed	Thioredoxin M3, chloroplastic	39947	Oryza sativa subsp. japonica	175	PF00085	69..167
Q7XRB5	reviewed	Protein disulfide isomerase-like 1-2	39947	Oryza sativa subsp. japonica	517	PF00085	34..139,379..481
Q7XSQ7	reviewed	Thioredoxin-like 3-3	39947	Oryza sativa subsp. japonica	129	PF00085	41..121
Q7Y0D4	reviewed	Thioredoxin-like protein HCF164, chloroplastic	39947	Oryza sativa subsp. japonica	262	PF00085	128..223
Q80TN4	reviewed	DnaJ homolog subfamily C member 16	10090	Mus musculus	772	PF00085	156..240
Q84JR9	reviewed	TPR repeat-containing thioredoxin TTL4	3702	Arabidopsis thaliana	682	PF00085	613..670
Q84M47	reviewed	5'-adenylylsulfate reductase-like 5	39947	Oryza sativa subsp. japonica	301	PF00085	82..160
Q84NN4	reviewed	Thioredoxin-like protein CDSP32, chloroplastic	39947	Oryza sativa subsp. japonica	301	PF00085	76..171,208..285
Q84P95	reviewed	5'-adenylylsulfate reductase-like 3	39947	Oryza sativa subsp. japonica	311	PF00085	76..158
Q851R5	reviewed	Thioredoxin H2-2	39947	Oryza sativa subsp. japonica	134	PF00085	33..125
Q869Z0	reviewed	Putative protein disulfide-isomerase DDB_G0275025	44689	Dictyostelium discoideum	409	PF00085	29..133
Q86H62	reviewed	Glutaredoxin-3 homolog	44689	Dictyostelium discoideum	240	PF00085	6..100
Q86IA3	reviewed	Protein disulfide-isomerase 1	44689	Dictyostelium discoideum	363	PF00085	24..128,144..249
Q86VQ3	reviewed	Thioredoxin domain-containing protein 2	9606	Homo sapiens	553	PF00085	452..550
Q86XW9	reviewed	Thioredoxin domain-containing protein 6	9606	Homo sapiens	330	PF00085	14..103
Q8BND5	reviewed	Sulfhydryl oxidase 1	10090	Mus musculus	748	PF00085	56..129
Q8BXZ1	reviewed	Protein disulfide-isomerase TMX3	10090	Mus musculus	456	PF00085	37..129
Q8C0L0	reviewed	Thioredoxin-related transmembrane protein 4	10090	Mus musculus	335	PF00085	48..131
Q8CDN6	reviewed	Thioredoxin-like protein 1	10090	Mus musculus	289	PF00085	12..104
Q8CPL5	reviewed	Thioredoxin	176280	Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200)	104	PF00085	3..101
Q8GXV2	reviewed	Thioredoxin-like protein CXXS2	3702	Arabidopsis thaliana	154	PF00085	48..141
Q8GYD1	reviewed	Protein disulfide-isomerase 5-1	3702	Arabidopsis thaliana	146	PF00085	27..128
Q8H2V6	reviewed	Thioredoxin-like protein CITRX, chloroplastic	39947	Oryza sativa subsp. japonica	189	PF00085	83..182
Q8IDP4	reviewed	Thioredoxin 2	36329	Plasmodium falciparum (isolate 3D7)	157	PF00085	64..154
Q8IFW4	reviewed	Thioredoxin-T	7227	Drosophila melanogaster	157	PF00085	13..103
Q8IXB1	reviewed	DnaJ homolog subfamily C member 10	9606	Homo sapiens	793	PF00085	131..229,466..551,558..641,674..761
Q8JG64	reviewed	Protein disulfide-isomerase A3	9031	Gallus gallus	505	PF00085	27..128,376..479
Q8JGM4	reviewed	Sulfhydryl oxidase 1	9031	Gallus gallus	743	PF00085	68..137
Q8K2W3	reviewed	Thioredoxin domain-containing protein 11	10090	Mus musculus	948	PF00085	112..206,664..741
Q8K581	reviewed	Thioredoxin domain-containing protein 9	10116	Rattus norvegicus	226	PF00085	79..162
Q8KE49	reviewed	Thioredoxin 2	194439	Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS)	109	PF00085	7..105
Q8KEA4	reviewed	Thioredoxin 1	194439	Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS)	101	PF00085	4..96
Q8L7S9	reviewed	Thioredoxin Y2, chloroplastic	3702	Arabidopsis thaliana	167	PF00085	63..160
Q8LCH9	reviewed	Thioredoxin-like 3-3	3702	Arabidopsis thaliana	126	PF00085	37..117
Q8LCT3	reviewed	Thioredoxin-like 2-2, chloroplastic	3702	Arabidopsis thaliana	236	PF00085	109..190
Q8LCV1	reviewed	Thioredoxin domain-containing protein PLP3B	3702	Arabidopsis thaliana	230	PF00085	89..174
Q8LD49	reviewed	Thioredoxin X, chloroplastic	3702	Arabidopsis thaliana	182	PF00085	73..173
Q8LDI5	reviewed	Thioredoxin-like protein CXXS1	3702	Arabidopsis thaliana	118	PF00085	9..105
Q8LEK4	reviewed	Thioredoxin-like 2-1, chloroplastic	3702	Arabidopsis thaliana	221	PF00085	99..186
Q8N427	reviewed	Thioredoxin domain-containing protein 3	9606	Homo sapiens	588	PF00085	14..103
Q8N807	reviewed	Protein disulfide-isomerase-like protein of the testis	9606	Homo sapiens	584	PF00085	48..148,389..490
Q8NBS9	reviewed	Thioredoxin domain-containing protein 5	9606	Homo sapiens	432	PF00085	67..164,193..291,324..424
Q8R4U2	reviewed	Protein disulfide-isomerase	10029	Cricetulus griseus	509	PF00085	28..133,371..473
Q8S091	reviewed	Thioredoxin F, chloroplastic	39947	Oryza sativa subsp. japonica	187	PF00085	82..182
Q8TFM8	reviewed	Thioredoxin-like protein	5516	Fusarium culmorum	121	PF00085	7..88
Q8VBT0	reviewed	Thioredoxin-related transmembrane protein 1	10090	Mus musculus	278	PF00085	31..128
Q8VWG7	reviewed	TPR repeat-containing thioredoxin TDX	3702	Arabidopsis thaliana	380	PF00085	288..374
Q8VX13	reviewed	Protein disulfide isomerase-like 1-3	3702	Arabidopsis thaliana	579	PF00085	101..201,439..523
Q8VZT6	reviewed	Thioredoxin-like 3-2, chloroplastic	3702	Arabidopsis thaliana	192	PF00085	86..180
Q8W4J3	reviewed	Sulfhydryl oxidase 1	3702	Arabidopsis thaliana	528	PF00085	44..136
Q91W90	reviewed	Thioredoxin domain-containing protein 5	10090	Mus musculus	417	PF00085	53..150,179..277,309..409
Q920J4	reviewed	Thioredoxin-like protein 1	10116	Rattus norvegicus	289	PF00085	12..104
Q921X9	reviewed	Protein disulfide-isomerase A5	10090	Mus musculus	517	PF00085	153..255,276..378,397..500
Q92249	reviewed	Protein disulfide-isomerase erp38	367110	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	369	PF00085	23..126,149..247
Q922R8	reviewed	Protein disulfide-isomerase A6	10090	Mus musculus	440	PF00085	27..126,162..263
Q92JR5	reviewed	Thioredoxin	272944	Rickettsia conorii (strain ATCC VR-613 / Malish 7)	105	PF00085	5..103
Q93VQ9	reviewed	Thioredoxin O2, mitochondrial	3702	Arabidopsis thaliana	159	PF00085	53..147
Q93YX4	reviewed	5'-adenylylsulfate reductase-like 5	3702	Arabidopsis thaliana	300	PF00085	75..155
Q942L2	reviewed	Protein disulfide isomerase-like 2-2	39947	Oryza sativa subsp. japonica	371	PF00085	37..139,155..259
Q94F09	reviewed	Protein disulfide-isomerase 5-2	3702	Arabidopsis thaliana	440	PF00085	34..136
Q95108	reviewed	Thioredoxin, mitochondrial	9913	Bos taurus	166	PF00085	69..163
Q95LM0	reviewed	Protein disulfide-isomerase-like protein of the testis	9541	Macaca fascicularis	583	PF00085	48..148,389..490
Q95YJ5	reviewed	Thioredoxin domain-containing protein 3 homolog	7719	Ciona intestinalis	653	PF00085	15..101
Q96419	reviewed	Thioredoxin H-type	3617	Fagopyrum esculentum	116	PF00085	10..108
Q96J42	reviewed	Thioredoxin domain-containing protein 15	9606	Homo sapiens	360	PF00085	208..289
Q96JJ7	reviewed	Protein disulfide-isomerase TMX3	9606	Homo sapiens	454	PF00085	32..126
Q98PL5	reviewed	Thioredoxin	272635	Mycoplasmopsis pulmonis (strain UAB CTIP)	109	PF00085	14..105
Q98TX1	reviewed	Thioredoxin	8665	Ophiophagus hannah	105	PF00085	9..103
Q99316	reviewed	Protein disulfide isomerase MPD2	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	277	PF00085	34..112
Q99757	reviewed	Thioredoxin, mitochondrial	9606	Homo sapiens	166	PF00085	69..163
Q9AS75	reviewed	Thioredoxin H4-1	39947	Oryza sativa subsp. japonica	131	PF00085	26..124
Q9BDJ3	reviewed	Thioredoxin	9483	Callithrix jacchus	105	PF00085	7..102
Q9BS26	reviewed	Endoplasmic reticulum resident protein 44	9606	Homo sapiens	406	PF00085	32..137
Q9C5C5	reviewed	Thioredoxin-like 4, chloroplastic	3702	Arabidopsis thaliana	204	PF00085	105..196
Q9C9Y6	reviewed	Thioredoxin H9	3702	Arabidopsis thaliana	140	PF00085	27..126
Q9CAS1	reviewed	Thioredoxin H8	3702	Arabidopsis thaliana	148	PF00085	53..141
Q9CM49	reviewed	Thioredoxin	272843	Pasteurella multocida (strain Pm70)	106	PF00085	3..103
Q9CP40	reviewed	Thiol:disulfide interchange protein DsbD	272843	Pasteurella multocida (strain Pm70)	576	PF00085	464..563
Q9CQ79	reviewed	Thioredoxin domain-containing protein 9	10090	Mus musculus	226	PF00085	79..162
Q9CQM9	reviewed	Glutaredoxin-3	10090	Mus musculus	337	PF00085	19..114
Q9D1Q6	reviewed	Endoplasmic reticulum resident protein 44	10090	Mus musculus	406	PF00085	32..137
Q9D710	reviewed	Thioredoxin-related transmembrane protein 2	10090	Mus musculus	295	PF00085	140..230
Q9DAN1	reviewed	Protein disulfide-isomerase-like protein of the testis	10090	Mus musculus	588	PF00085	386..487
Q9DC23	reviewed	DnaJ homolog subfamily C member 10	10090	Mus musculus	793	PF00085	131..229,466..551,558..644,674..759
Q9DGI3	reviewed	Thioredoxin	7998	Ictalurus punctatus	107	PF00085	5..104
Q9FF55	reviewed	Protein disulfide isomerase-like 1-4	3702	Arabidopsis thaliana	597	PF00085	105..205,443..530
Q9FG36	reviewed	Thioredoxin-like 3-1, chloroplastic	3702	Arabidopsis thaliana	210	PF00085	117..194
Q9H1E5	reviewed	Thioredoxin-related transmembrane protein 4	9606	Homo sapiens	349	PF00085	52..135
Q9H3N1	reviewed	Thioredoxin-related transmembrane protein 1	9606	Homo sapiens	280	PF00085	31..128
Q9JLZ1	reviewed	Glutaredoxin-3	10116	Rattus norvegicus	337	PF00085	20..114
Q9LJU2	reviewed	Protein disulfide-isomerase 5-3	3702	Arabidopsis thaliana	483	PF00085	146..243
Q9LKW0	reviewed	Thioredoxin-like protein CITRX, chloroplastic	4081	Solanum lycopersicum	175	PF00085	70..157
Q9LXZ8	reviewed	Putative thioredoxin H10	3702	Arabidopsis thaliana	154	PF00085	49..142
Q9M7X9	reviewed	Thioredoxin-like protein CITRX, chloroplastic	3702	Arabidopsis thaliana	183	PF00085	77..168
Q9MAH1	reviewed	TPR repeat-containing thioredoxin TTL1	3702	Arabidopsis thaliana	699	PF00085	604..687
Q9MAU6	reviewed	Protein disulfide-isomerase like 2-2	3702	Arabidopsis thaliana	447	PF00085	34..133,170..269
Q9P2K2	reviewed	Thioredoxin domain-containing protein 16	9606	Homo sapiens	825	PF00085	394..493
Q9P4X1	reviewed	Thioredoxin domain-containing protein C959.05c	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	632	PF00085	189..278
Q9PHR3	reviewed	Thiol:disulfide interchange protein DsbD	192222	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	567	PF00085	466..566
Q9PJK3	reviewed	Thioredoxin	243161	Chlamydia muridarum (strain MoPn / Nigg)	102	PF00085	2..99
Q9R6P9	reviewed	Thioredoxin	710127	Mycoplasmoides gallisepticum (strain R(low / passage 15 / clone 2))	100	PF00085	4..99
Q9RD25	reviewed	Putative thioredoxin 2	100226	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	134	PF00085	4..101
Q9SA00	reviewed	5'-adenylylsulfate reductase-like 4	3702	Arabidopsis thaliana	310	PF00085	82..162
Q9SEU6	reviewed	Thioredoxin M4, chloroplastic	3702	Arabidopsis thaliana	193	PF00085	88..188
Q9SEU7	reviewed	Thioredoxin M3, chloroplastic	3702	Arabidopsis thaliana	173	PF00085	69..167
Q9SEU8	reviewed	Thioredoxin M2, chloroplastic	3702	Arabidopsis thaliana	186	PF00085	82..182
Q9SGS4	reviewed	Thioredoxin-like protein CDSP32, chloroplastic	3702	Arabidopsis thaliana	302	PF00085	78..173,208..287
Q9SIN1	reviewed	Inactive TPR repeat-containing thioredoxin TTL3	3702	Arabidopsis thaliana	691	PF00085	594..680
Q9SRG3	reviewed	Protein disulfide isomerase-like 1-2	3702	Arabidopsis thaliana	508	PF00085	31..137,374..476
Q9T042	reviewed	Protein disulfide-isomerase 5-4	3702	Arabidopsis thaliana	480	PF00085	144..238
Q9TW67	reviewed	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase	6239	Caenorhabditis elegans	606	PF00085	20..104
Q9USR1	reviewed	Thioredoxin-like protein 1	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	290	PF00085	11..102
Q9UW02	reviewed	Thioredoxin	56187	Coprinus comatus	106	PF00085	7..102
Q9V429	reviewed	Thioredoxin-2	7227	Drosophila melanogaster	106	PF00085	8..103
Q9V438	reviewed	Protein disulfide-isomerase A6 homolog	7227	Drosophila melanogaster	433	PF00085	27..126,158..261
Q9VYV3	reviewed	Thioredoxin domain-containing protein 5 homolog	7227	Drosophila melanogaster	416	PF00085	40..142,168..268,310..409
Q9X2T1	reviewed	Thioredoxin	208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	108	PF00085	5..105
Q9XF61	reviewed	Protein disulfide-isomerase	34297	Datisca glomerata	507	PF00085	35..141,379..482
Q9XFH8	reviewed	Thioredoxin F1, chloroplastic	3702	Arabidopsis thaliana	178	PF00085	70..170
Q9XFH9	reviewed	Thioredoxin F2, chloroplastic	3702	Arabidopsis thaliana	185	PF00085	80..179
Q9XFI1	reviewed	Thioredoxin-like 1-2, chloroplastic	3702	Arabidopsis thaliana	245	PF00085	98..171
Q9XGS0	reviewed	Thioredoxin M-type, chloroplastic	3708	Brassica napus	177	PF00085	75..174
Q9XI01	reviewed	Protein disulfide isomerase-like 1-1	3702	Arabidopsis thaliana	501	PF00085	32..138,376..479
Q9XIF4	reviewed	Thioredoxin H7	3702	Arabidopsis thaliana	129	PF00085	39..125
Q9Y2G8	reviewed	DnaJ homolog subfamily C member 16	9606	Homo sapiens	782	PF00085	158..243
Q9Y320	reviewed	Thioredoxin-related transmembrane protein 2	9606	Homo sapiens	296	PF00085	140..229
Q9Z7P5	reviewed	Thioredoxin	83558	Chlamydia pneumoniae	102	PF00085	2..99
Q9ZEE0	reviewed	Thioredoxin	272947	Rickettsia prowazekii (strain Madrid E)	105	PF00085	2..103
Q9ZP20	reviewed	Thioredoxin M5, chloroplastic	39947	Oryza sativa subsp. japonica	172	PF00085	67..167
Q9ZP21	reviewed	Thioredoxin M-type, chloroplastic	4565	Triticum aestivum	175	PF00085	70..170
Q9ZPE9	reviewed	5'-adenylylsulfate reductase-like 6	3702	Arabidopsis thaliana	295	PF00085	79..156
Q9ZPH2	reviewed	Monothiol glutaredoxin-S17	3702	Arabidopsis thaliana	488	PF00085	16..102
Q9ZU40	reviewed	Sulfhydryl oxidase 2	3702	Arabidopsis thaliana	495	PF00085	38..124
